candidate_id,question_id,pmid,in_formal_v1_qrels,formal_v1_relevance,netmedex_rank,traditional_rank,in_pubmed_corpus,has_title_abstract,requires_human_judgment
Q028-C010,Q028,18454859,1,1,,,0,1,1
Q028-C011,Q028,42191394,0,,2,7,1,1,1
Q028-C012,Q028,36938944,0,,5,4,1,1,1
Q028-C013,Q028,40603821,0,,7,6,1,1,1
Q028-C014,Q028,16854453,0,,3,2,1,1,1
Q028-C015,Q028,28938696,0,,1,1,1,1,1
Q028-C016,Q028,28871105,1,1,,,0,1,1
Q029-C001,Q029,11927518,1,2,,,0,1,1
Q029-C002,Q029,34272458,1,2,,,0,1,1
Q029-C003,Q029,38001470,1,1,,,0,1,1
Q029-C004,Q029,37107335,0,,4,6,1,1,1
Q029-C005,Q029,42065920,0,,2,2,1,1,1
Q029-C006,Q029,39119148,0,,6,4,1,1,1
Q029-C007,Q029,40418230,0,,3,3,1,1,1
Q029-C008,Q029,41587514,0,,7,5,1,1,1
Q029-C009,Q029,35642067,1,2,,,0,1,1
Q029-C010,Q029,40113668,0,,5,7,1,1,1
Q029-C011,Q029,40681353,0,,1,1,1,1,1
Q029-C012,Q029,19036896,1,1,,,0,1,1
Q029-C013,Q029,37259606,1,1,,,0,1,1
Q030-C001,Q030,28445690,0,,3,5,1,1,1
Q030-C002,Q030,23123365,0,,10,,1,1,1
Q030-C003,Q030,39089535,0,,,1,1,1,1
Q030-C004,Q030,32158005,0,,8,,1,1,1
Q030-C005,Q030,41443481,0,,2,4,1,1,1
Q030-C006,Q030,41090786,0,,7,10,1,1,1
Q030-C007,Q030,40264292,0,,6,9,1,1,1
Q030-C008,Q030,21145432,0,,9,,1,1,1
Q030-C009,Q030,30104698,1,2,,,0,1,1
Q030-C010,Q030,21872339,1,2,,,0,1,1
Q030-C011,Q030,29489077,0,,5,7,1,1,1
Q030-C012,Q030,38820411,0,,,8,1,1,1
Q030-C013,Q030,19188531,1,2,,,0,1,1
Q030-C014,Q030,39615605,0,,,3,1,1,1
Q030-C015,Q030,41373743,0,,,,1,1,1
Q030-C016,Q030,37264010,0,,1,2,1,1,1
Q030-C017,Q030,26065825,1,2,,,0,1,1
Q030-C018,Q030,31427752,0,,4,6,1,1,1
Q030-C019,Q030,41226404,1,2,,,0,1,1
Q030-C020,Q030,35163538,1,1,,,0,1,1
Q030-C021,Q030,27885969,0,,,,1,1,1
Q031-C001,Q031,38590314,0,,3,4,1,1,1
Q031-C002,Q031,19720210,1,2,,,0,1,1
Q031-C003,Q031,30194992,0,,,,1,1,1
Q031-C004,Q031,31509236,1,2,,,1,1,1
Q031-C005,Q031,16990802,1,2,,,0,1,1
Q031-C006,Q031,29528494,0,,9,5,1,1,1
Q031-C007,Q031,29467325,1,1,,,0,1,1
Q031-C008,Q031,40484710,0,,7,,1,1,1
Q031-C009,Q031,31182684,0,,5,7,1,1,1
Q031-C010,Q031,37120405,0,,8,2,1,1,1
Q031-C011,Q031,33233866,0,,2,3,1,1,1
Q031-C012,Q031,41155460,0,,,10,1,1,1
Q031-C013,Q031,40649943,0,,10,8,1,1,1
Q031-C014,Q031,29676067,1,1,,,0,1,1
Q031-C015,Q031,35216228,0,,6,9,1,1,1
Q031-C016,Q031,39202657,1,1,,,0,1,1
Q031-C017,Q031,31902917,0,,1,1,1,1,1
Q031-C018,Q031,33368555,0,,,,1,1,1
Q031-C019,Q031,16550169,1,2,,,0,1,1
Q031-C020,Q031,40985485,0,,4,6,1,1,1
Q031-C021,Q031,32610574,0,,,,1,1,1
Q031-C022,Q031,32751111,1,2,,,0,1,1
Q032-C001,Q032,18328887,1,1,,,0,1,1
Q032-C002,Q032,38579176,0,,2,2,1,1,1
Q032-C003,Q032,41919890,0,,1,1,1,1,1
Q032-C004,Q032,30364003,0,,4,4,1,1,1
Q032-C005,Q032,30323811,1,1,,,0,1,1
Q032-C006,Q032,27931975,1,1,,,0,1,1
Q032-C007,Q032,33013361,1,2,,,0,1,1
Q032-C008,Q032,37834157,0,,3,3,1,1,1
Q032-C009,Q032,40257546,1,2,,,0,1,1
Q032-C010,Q032,19075788,1,2,,,0,1,1
Q032-C011,Q032,15032597,1,1,,,0,1,1
Q032-C012,Q032,12170265,1,2,,,0,1,1
Q033-C001,Q033,35075250,1,1,,,0,1,1
Q033-C002,Q033,35646542,0,,,,1,1,1
Q033-C003,Q033,38756248,1,2,,,0,1,1
Q033-C004,Q033,33869196,1,2,,10,1,1,1
Q033-C005,Q033,38871948,0,,,4,1,1,1
Q033-C006,Q033,38351696,0,,,6,1,1,1
Q033-C007,Q033,34129254,0,,7,,1,1,1
Q033-C008,Q033,34607160,0,,10,,1,1,1
Q033-C009,Q033,42173841,0,,,9,1,1,1
Q033-C010,Q033,36703745,1,1,2,2,1,1,1
Q033-C011,Q033,30081711,0,,5,7,1,1,1
Q033-C012,Q033,36370962,1,2,4,5,1,1,1
Q033-C013,Q033,36398583,0,,9,,1,1,1
Q033-C014,Q033,36029649,1,2,,,0,1,1
Q033-C015,Q033,34864819,1,2,,,0,1,1
Q033-C016,Q033,35785548,0,,6,8,1,1,1
Q033-C017,Q033,41351245,0,,8,,1,1,1
Q033-C018,Q033,34522161,0,,1,1,1,1,1
Q033-C019,Q033,29957462,0,,3,3,1,1,1
Q034-C001,Q034,41601934,0,,7,,1,1,1
Q034-C002,Q034,33072401,0,,9,4,1,1,1
Q034-C003,Q034,16728325,0,,6,9,1,1,1
Q034-C004,Q034,26054568,1,2,1,1,1,1,1
Q034-C005,Q034,41199318,0,,,,1,1,1
Q034-C006,Q034,34293080,0,,,8,1,1,1
Q034-C007,Q034,28993218,0,,4,5,1,1,1
Q034-C008,Q034,23704522,1,1,,,0,1,1
Q034-C009,Q034,15544519,0,,2,2,1,1,1
Q034-C010,Q034,26935357,1,1,,,0,1,1
Q034-C011,Q034,24319628,1,2,,,0,1,1
Q034-C012,Q034,32923607,0,,,10,1,1,1
Q034-C013,Q034,31005756,0,,5,6,1,1,1
Q034-C014,Q034,40752455,0,,3,3,1,1,1
Q034-C015,Q034,31866994,1,2,,,0,1,1
Q034-C016,Q034,40528841,0,,8,,1,1,1
Q034-C017,Q034,33640465,0,,10,7,1,1,1
Q034-C018,Q034,37958563,1,2,,,1,1,1
Q034-C019,Q034,9626050,1,1,,,0,1,1
Q034-C020,Q034,41789111,0,,,,1,1,1
Q034-C021,Q034,21584427,1,1,,,0,1,1
Q035-C001,Q035,38881451,0,,2,2,1,1,1
Q035-C002,Q035,35524726,1,1,,,0,1,1
Q035-C003,Q035,40277933,1,1,,,0,1,1
Q035-C004,Q035,34904366,1,2,,,0,1,1
Q035-C005,Q035,32450920,0,,3,3,1,1,1
Q035-C006,Q035,42166024,0,,4,4,1,1,1
Q035-C007,Q035,35658936,1,2,,,0,1,1
Q035-C008,Q035,37468473,1,2,,,0,1,1
Q035-C009,Q035,28143833,1,1,,,0,1,1
Q035-C010,Q035,41291782,1,2,,,0,1,1
Q035-C011,Q035,31838837,1,1,1,1,1,1,1
Q036-C001,Q036,21793854,1,2,,,0,1,1
Q036-C002,Q036,34942962,1,2,,,0,1,1
Q036-C003,Q036,33515348,1,2,,,0,1,1
Q036-C004,Q036,31092832,1,2,,,0,1,1
Q036-C005,Q036,37701897,0,,6,3,1,1,1
Q036-C006,Q036,29326403,1,2,,,0,1,1
Q036-C007,Q036,26881038,1,2,,,0,1,1
Q036-C008,Q036,21391649,1,2,,,0,1,1
Q036-C009,Q036,40243461,0,,5,7,1,1,1
Q036-C010,Q036,21060289,0,,8,8,1,1,1
Q036-C011,Q036,37571283,0,,3,4,1,1,1
Q036-C012,Q036,34518768,1,2,,,0,1,1
Q036-C013,Q036,37468211,0,,7,6,1,1,1
Q036-C014,Q036,22752583,1,2,,,0,1,1
Q036-C015,Q036,31480567,0,,2,2,1,1,1
Q036-C016,Q036,26165427,0,,1,1,1,1,1
Q036-C017,Q036,31112588,1,2,,,0,1,1
Q036-C018,Q036,31078267,1,2,,,0,1,1
Q036-C019,Q036,23581983,0,,4,5,1,1,1
Q036-C020,Q036,32664226,1,1,,,0,1,1
Q036-C021,Q036,31475364,1,2,,,0,1,1
Q037-C001,Q037,29052129,0,,1,1,1,1,1
Q037-C002,Q037,29970455,1,2,,,0,1,1
Q037-C003,Q037,30611768,0,,3,3,1,1,1
Q037-C004,Q037,38064540,0,,9,9,1,1,1
Q037-C005,Q037,24927147,1,1,,,0,1,1
Q037-C006,Q037,23276797,1,2,,,0,1,1
Q037-C007,Q037,20413301,0,,4,4,1,1,1
Q037-C008,Q037,35203390,1,2,,,0,1,1
Q037-C009,Q037,32839523,0,,8,8,1,1,1
Q037-C010,Q037,40544269,0,,,,1,1,1
Q037-C011,Q037,20485626,1,2,2,2,1,1,1
Q037-C012,Q037,32170761,1,2,,,0,1,1
Q037-C013,Q037,39290403,0,,10,10,1,1,1
Q037-C014,Q037,16461228,0,,5,5,1,1,1
Q037-C015,Q037,28097530,1,2,7,7,1,1,1
Q037-C016,Q037,33563643,1,2,,,0,1,1
Q037-C017,Q037,22962577,1,2,,,0,1,1
Q037-C018,Q037,36661665,1,2,,,0,1,1
Q037-C019,Q037,25646384,0,,6,6,1,1,1
Q037-C020,Q037,27658781,1,2,,,0,1,1
Q038-C001,Q038,17316459,1,2,,,0,1,1
Q038-C002,Q038,23007741,1,2,,,0,1,1
Q038-C003,Q038,19798028,1,2,,,0,1,1
Q038-C004,Q038,29149648,0,,2,2,1,1,1
Q038-C005,Q038,27612450,1,1,,,0,1,1
Q038-C006,Q038,27598995,0,,6,6,1,1,1
Q038-C007,Q038,34335888,1,1,,,0,1,1
Q038-C008,Q038,38232664,0,,8,7,1,1,1
Q038-C009,Q038,30954617,0,,7,8,1,1,1
Q038-C010,Q038,21435232,1,2,,,0,1,1
Q038-C011,Q038,15020327,1,2,,,0,1,1
Q038-C012,Q038,34122118,0,,4,4,1,1,1
Q038-C013,Q038,10693863,1,2,,,0,1,1
Q038-C014,Q038,29422077,1,2,,,0,1,1
Q038-C015,Q038,10765926,1,2,,,0,1,1
Q038-C016,Q038,22867712,1,2,,,0,1,1
Q038-C017,Q038,15972960,0,,5,5,1,1,1
Q038-C018,Q038,28286757,0,,3,3,1,1,1
Q038-C019,Q038,26189496,0,,1,1,1,1,1
Q039-C001,Q039,39844795,0,,4,5,1,1,1
Q039-C002,Q039,20172535,1,2,,,0,1,1
Q039-C003,Q039,38680011,0,,8,,1,1,1
Q039-C004,Q039,38221533,0,,,,1,1,1
Q039-C005,Q039,25451089,1,1,,,0,1,1
Q039-C006,Q039,41106100,0,,,,1,1,1
Q039-C007,Q039,40816580,0,,,,1,1,1
Q039-C008,Q039,38057644,0,,,7,1,1,1
Q039-C009,Q039,37948105,0,,7,10,1,1,1
Q039-C010,Q039,20186711,0,,1,1,1,1,1
Q039-C011,Q039,27457814,0,,10,6,1,1,1
Q039-C012,Q039,40791036,1,1,,,0,1,1
Q039-C013,Q039,21774990,1,1,,,0,1,1
Q039-C014,Q039,28215294,1,1,3,4,1,1,1
Q039-C015,Q039,26519901,0,,9,2,1,1,1
Q039-C016,Q039,22880079,1,1,,,0,1,1
Q039-C017,Q039,16501568,1,2,,,0,1,1
Q039-C018,Q039,30134168,0,,6,9,1,1,1
Q039-C019,Q039,33096634,0,,2,3,1,1,1
Q039-C020,Q039,26275358,1,1,,,0,1,1
Q039-C021,Q039,37799103,0,,5,8,1,1,1
Q039-C022,Q039,32351365,1,2,,,0,1,1
Q039-C023,Q039,23684954,0,,,,1,1,1
Q039-C024,Q039,23704927,1,1,,,0,1,1
Q039-C025,Q039,26662461,1,1,,,0,1,1
Q040-C001,Q040,41567211,1,2,,,0,1,1
Q040-C002,Q040,34069772,1,2,,,0,1,1
Q040-C003,Q040,41184283,1,2,,,0,1,1
Q040-C004,Q040,28451792,1,2,,,0,1,1
Q040-C005,Q040,41630031,0,,1,1,1,1,1
Q040-C006,Q040,32391119,1,2,,,0,1,1
Q040-C007,Q040,38481800,1,2,,,0,1,1
Q040-C008,Q040,39990209,1,1,,,0,1,1
Q040-C009,Q040,32046984,1,2,,,0,1,1
Q040-C010,Q040,36864508,1,2,,,0,1,1
Q041-C001,Q041,41285328,0,,8,8,1,1,1
Q041-C002,Q041,36513134,0,,5,5,1,1,1
Q041-C003,Q041,38634653,0,,7,7,1,1,1
Q041-C004,Q041,34918381,1,2,,,0,1,1
Q041-C005,Q041,33139635,1,2,,,0,1,1
Q041-C006,Q041,35069210,1,2,,,0,1,1
Q041-C007,Q041,36986825,1,2,,,0,1,1
Q041-C008,Q041,36331190,1,1,,,0,1,1
Q041-C009,Q041,39676197,0,,9,9,1,1,1
Q041-C010,Q041,40429921,0,,2,2,1,1,1
Q041-C011,Q041,32970396,1,1,,,0,1,1
Q041-C012,Q041,40279256,0,,1,1,1,1,1
Q041-C013,Q041,31936266,0,,4,4,1,1,1
Q041-C014,Q041,36534320,1,2,3,3,1,1,1
Q041-C015,Q041,36768138,0,,6,6,1,1,1
Q041-C016,Q041,39168099,1,2,,,0,1,1
Q041-C017,Q041,40829258,0,,10,10,1,1,1
Q042-C001,Q042,25092341,1,1,,,0,1,1
Q042-C002,Q042,21982596,1,2,,,0,1,1
Q042-C003,Q042,22949320,0,,1,1,1,1,1
Q042-C004,Q042,25039885,1,2,,,0,1,1
Q042-C005,Q042,29203226,0,,2,2,1,1,1
Q042-C006,Q042,29922283,0,,3,3,1,1,1
Q042-C007,Q042,20929536,1,2,,,0,1,1
Q042-C008,Q042,40676520,1,2,,,0,1,1
Q042-C009,Q042,38168103,1,1,,,0,1,1
Q042-C010,Q042,19644886,1,2,,,0,1,1
Q042-C011,Q042,20200272,1,2,,,0,1,1
Q043-C001,Q043,40541122,0,,7,8,1,1,1
Q043-C002,Q043,39026249,0,,9,,1,1,1
Q043-C003,Q043,35642214,0,,,,1,1,1
Q043-C004,Q043,34828359,1,2,,,0,1,1
Q043-C005,Q043,32958021,0,,5,6,1,1,1
Q043-C006,Q043,39407211,0,,6,7,1,1,1
Q043-C007,Q043,34080771,0,,,9,1,1,1
Q043-C008,Q043,31359456,1,2,,,0,1,1
Q043-C009,Q043,32929691,1,1,,,0,1,1
Q043-C010,Q043,23686772,1,1,2,2,1,1,1
Q043-C011,Q043,41571675,0,,,10,1,1,1
Q043-C012,Q043,36579934,1,2,,,0,1,1
Q043-C013,Q043,35464490,1,2,,,0,1,1
Q043-C014,Q043,37072933,0,,10,5,1,1,1
Q043-C015,Q043,41173224,0,,8,,1,1,1
Q043-C016,Q043,39904338,0,,4,4,1,1,1
Q043-C017,Q043,39499013,0,,,,1,1,1
Q043-C018,Q043,26939933,1,2,,,0,1,1
Q043-C019,Q043,31748742,0,,3,3,1,1,1
Q043-C020,Q043,23254930,1,2,1,1,1,1,1
Q043-C021,Q043,34497121,0,,,,1,1,1
Q044-C001,Q044,29431520,1,2,,,0,1,1
Q044-C002,Q044,27451102,0,,4,4,1,1,1
Q044-C003,Q044,20674311,1,2,,,0,1,1
Q044-C004,Q044,32428778,0,,1,1,1,1,1
Q044-C005,Q044,20102704,1,1,,,0,1,1
Q044-C006,Q044,37843843,1,2,,,0,1,1
Q044-C007,Q044,31562952,0,,2,3,1,1,1
Q044-C008,Q044,31052341,1,1,,,0,1,1
Q044-C009,Q044,41881903,0,,3,2,1,1,1
Q044-C010,Q044,25302702,1,1,,,0,1,1
Q044-C011,Q044,23750556,1,1,,,0,1,1
Q044-C012,Q044,28604618,1,2,,,0,1,1
Q045-C001,Q045,41173224,0,,8,,1,1,1
Q045-C002,Q045,34569615,0,,3,6,1,1,1
Q045-C003,Q045,40394225,0,,7,10,1,1,1
Q045-C004,Q045,36587502,1,2,,,0,1,1
Q045-C005,Q045,41417476,0,,2,5,1,1,1
Q045-C006,Q045,42311464,0,,9,1,1,1,1
Q045-C007,Q045,33902708,0,,6,9,1,1,1
Q045-C008,Q045,29050859,0,,5,8,1,1,1
Q045-C009,Q045,39062586,0,,4,7,1,1,1
Q045-C010,Q045,40606832,1,2,,,0,1,1
Q045-C011,Q045,40134421,0,,10,2,1,1,1
Q045-C012,Q045,41527082,0,,,,1,1,1
Q045-C013,Q045,41086442,0,,,4,1,1,1
Q045-C014,Q045,34125470,1,2,,,0,1,1
Q045-C015,Q045,34961526,0,,,,1,1,1
Q045-C016,Q045,41326666,1,1,,,0,1,1
Q045-C017,Q045,27252647,1,1,,,0,1,1
Q045-C018,Q045,28781108,1,1,,,0,1,1
Q045-C019,Q045,42265098,1,2,1,3,1,1,1
Q046-C001,Q046,15075340,0,,3,3,1,1,1
Q046-C002,Q046,24137428,1,0,,,0,1,1
Q046-C003,Q046,12446774,0,,2,2,1,1,1
Q046-C004,Q046,28603543,1,1,,,0,1,1
Q046-C005,Q046,26384306,1,1,,,0,1,1
Q046-C006,Q046,29570984,0,,5,4,1,1,1
Q046-C007,Q046,29923368,0,,7,7,1,1,1
Q046-C008,Q046,12429935,0,,4,6,1,1,1
Q046-C009,Q046,40363725,0,,6,5,1,1,1
Q046-C010,Q046,16425280,0,,1,1,1,1,1
Q046-C011,Q046,33720241,1,1,,,0,1,1
Q047-C001,Q047,27932986,1,1,,,0,1,1
Q047-C002,Q047,16177189,0,,1,1,1,1,1
Q047-C003,Q047,22186243,1,1,,,0,1,1
Q048-C001,Q048,29285799,0,,,8,1,1,1
Q048-C002,Q048,33452455,0,,3,3,1,1,1
Q048-C003,Q048,38083808,0,,6,7,1,1,1
Q048-C004,Q048,33751250,0,,,10,1,1,1
Q048-C005,Q048,38981361,0,,8,,1,1,1
Q048-C006,Q048,36520091,0,,2,2,1,1,1
Q048-C007,Q048,32093031,1,1,,,0,1,1
Q048-C008,Q048,40282232,0,,,,1,1,1
Q048-C009,Q048,40452254,0,,1,1,1,1,1
Q048-C010,Q048,40858633,0,,,,1,1,1
Q048-C011,Q048,12562498,0,,4,5,1,1,1
Q048-C012,Q048,35726597,1,1,,,0,1,1
Q048-C013,Q048,37907083,0,,7,9,1,1,1
Q048-C014,Q048,32768192,0,,,,1,1,1
Q048-C015,Q048,30597617,0,,10,4,1,1,1
Q048-C016,Q048,35056817,0,,5,6,1,1,1
Q048-C017,Q048,26160841,1,1,,,0,1,1
Q048-C018,Q048,28240263,1,1,,,0,1,1
Q048-C019,Q048,38437643,0,,9,,1,1,1
Q049-C001,Q049,35672400,0,,6,10,1,1,1
Q049-C002,Q049,34576234,1,2,,,0,1,1
Q049-C003,Q049,35642214,0,,,,1,1,1
Q049-C004,Q049,30371263,1,1,,,0,1,1
Q049-C005,Q049,38744811,0,,,,1,1,1
Q049-C006,Q049,32972203,0,,9,6,1,1,1
Q049-C007,Q049,21059352,1,1,,,0,1,1
Q049-C008,Q049,29233682,1,2,,,0,1,1
Q049-C009,Q049,30056242,0,,3,5,1,1,1
Q049-C010,Q049,40307543,0,,8,4,1,1,1
Q049-C011,Q049,29160304,0,,4,7,1,1,1
Q049-C012,Q049,30697920,1,2,,,0,1,1
Q049-C013,Q049,32611237,0,,,,1,1,1
Q049-C014,Q049,27340270,0,,,,1,1,1
Q049-C015,Q049,35784531,0,,,,1,1,1
Q049-C016,Q049,39744939,0,,5,8,1,1,1
Q049-C017,Q049,28891814,1,1,,,0,1,1
Q049-C018,Q049,37834293,0,,2,2,1,1,1
Q049-C019,Q049,34830222,0,,10,9,1,1,1
Q049-C020,Q049,30983140,1,2,,,0,1,1
Q049-C021,Q049,23649149,0,,1,1,1,1,1
Q049-C022,Q049,33135058,0,,7,3,1,1,1
Q049-C023,Q049,37495732,1,2,,,0,1,1
Q050-C001,Q050,33432923,1,2,,,0,1,1
Q050-C002,Q050,41144501,0,,2,1,1,1,1
Q050-C003,Q050,41950603,0,,5,4,1,1,1
Q050-C004,Q050,33469043,1,1,,,0,1,1
Q050-C005,Q050,31209247,0,,3,2,1,1,1
Q050-C006,Q050,33586672,1,2,,,0,1,1
Q050-C007,Q050,31980603,1,2,,,0,1,1
Q050-C008,Q050,29955622,1,1,,,0,1,1
Q050-C009,Q050,32373553,1,1,,,0,1,1
Q050-C010,Q050,35060590,0,,4,3,1,1,1
Q050-C011,Q050,40270955,0,,1,5,1,1,1
Q050-C012,Q050,34373550,1,1,,,0,1,1
Q050-C013,Q050,22970248,1,1,,,0,1,1
