question_id,domain,question_type,pubmed_search_query,candidate_pmids,relevance_grade,audit_flags_2nd_pass,curator_id,curation_status,notes
Q041,multilingual,multilingual_mechanism,SGLT2 inhibitor kidney inflammation fibrosis empagliflozin dapagliflozin,32970396;36331190;36986825;39168099;35069210;33139635;34918381;36534320,1;1;2;2;2;2;2;2,v1;v1;-;-;-;-;-;^2,codex-final-adjudication,final-ai-adjudicated,"Chinese question; use English PubMed query for retrieval, answer can be Chinese. || AI-DRAFTED (unreviewed): Good coverage distinguishing large human renal-outcome trials (DAPA-CKD, EMPA-KIDNEY) from mechanistic anti-inflammatory/anti-fibrotic studies (mostly mouse/rat/in vitro). NOTE: substantial PMID overlap with Q021 (same underlying topic) is expected and appropriate. || AUDIT (2nd pass): The two large RCTs (32970396 DAPA-CKD, 36331190 EMPA-KIDNEY) are outcome trials with no anti-inflammatory/anti-fibrotic mechanistic content -- overgraded at 2, likely belong at 1 (consistent with how they were graded in Q021); 36534320 is a dedicated fibrosis-mechanism review -- underrated at 1. || FINAL ADJUDICATION: PMID metadata and disputed grades were checked against PubMed abstracts; second-pass recommendations were accepted and frozen on 2026-07-27. This is an internal AI adjudication, not a claim of human expert review."
Q042,multilingual,multilingual_association,IL-17 rheumatoid arthritis psoriasis Th17 gamma delta T cell innate lymphoid cells,20200272;19644886;20929536;40676520;21982596;38168103;25092341;25039885,2;2;2;2;2;1;1;2,-;-;-;-;-;-;-;^2,codex-final-adjudication,final-ai-adjudicated,"Compare RA vs psoriasis immune cell sources. || AI-DRAFTED (unreviewed): Solid disease-specific comparison: human RA data show mast cells/CD4 T cells as major synovial IL-17 sources with gamma-delta T cells notably NOT dominant (unlike mouse CIA); psoriasis evidence (human skin + mouse models) points to gamma-delta T cells and innate lymphoid cells as principal producers -- a genuine disease-context distinction. || AUDIT (2nd pass): 25039885 explicitly reviews the IL-17 cell-source paradigm shift in psoriasis, squarely matching the question -- underrated at 1, should likely be 2. || FINAL ADJUDICATION: PMID metadata and disputed grades were checked against PubMed abstracts; second-pass recommendations were accepted and frozen on 2026-07-27. This is an internal AI adjudication, not a claim of human expert review."
Q043,cross-species,cross_species,NLRP3 inflammasome Alzheimer's disease microglia human mouse,23254930;36579934;34828359;26939933;31359456;35464490;23686772;32929691,2;2;2;2;2;2;1;1,-;-;-;-;^2;^2;-;-,codex-final-adjudication,final-ai-adjudicated,"Explicitly tag human, mouse, and in vitro evidence. || AI-DRAFTED (unreviewed): Strong human evidence base (postmortem cortex/hippocampus tissue, peripheral blood monocytes) confirms NLRP3/inflammasome upregulation correlating with AD severity; causal mechanistic claims remain primarily mouse-model-based (APP/PS1, 5xFAD); in vitro/ex vivo human monocyte work bridges the two. || AUDIT (2nd pass): Two primary (non-review) mouse-only mechanistic papers (31359456, 35464490) appear underrated at 1 when judged against the same directness standard used for the human-only grade-2 papers. || FINAL ADJUDICATION: PMID metadata and disputed grades were checked against PubMed abstracts; second-pass recommendations were accepted and frozen on 2026-07-27. This is an internal AI adjudication, not a claim of human expert review."
Q044,cross-species,cross_species,resveratrol endothelial function human trial nitric oxide preclinical,37843843;20674311;29431520;28604618;25302702;23750556;20102704;31052341,2;2;2;2;1;1;1;1,-;-;-;-;-;-;-;-,codex-final-adjudication,final-ai-adjudicated,"Separate human endothelial function trials from preclinical mechanisms. || AI-DRAFTED (unreviewed): Human RCT evidence is present but mixed/inconsistent (three positive small trials, one clean negative trial); the eNOS/SIRT1 mechanistic explanation is almost entirely derived from in vitro HUVEC studies, not human tissue -- translational confidence should be treated as preliminary. || AUDIT (2nd pass): All 8 grades independently confirmed defensible, no reconsideration needed. || FINAL ADJUDICATION: PMID metadata and disputed grades were checked against PubMed abstracts; second-pass recommendations were accepted and frozen on 2026-07-27. This is an internal AI adjudication, not a claim of human expert review."
Q045,cross-species,cross_species,GLP-1 receptor agonist neuroinflammation human animal microglia,42265098;36587502;40606832;34125470;27252647;41326666;28781108,2;2;2;2;1;1;1,-;-;-;^2;-;-;-,codex-final-adjudication,final-ai-adjudicated,"Separate human clinical/neuroimaging evidence from animal microglia evidence. || AI-DRAFTED (unreviewed): Direct mechanistic evidence that GLP-1 receptor agonists reduce neuroinflammation comes almost exclusively from mouse models; human trials measure downstream/indirect proxies (glucose metabolism, motor scores), and the largest human trial (ELAD) was negative on its primary endpoint -- human neuroinflammation evidence is genuinely scarce. || AUDIT (2nd pass): 34125470 is a mouse-model paper with an equally direct neuroinflammation mechanism as the grade-2 set -- underrated at 1. || FINAL ADJUDICATION: PMID metadata and disputed grades were checked against PubMed abstracts; second-pass recommendations were accepted and frozen on 2026-07-27. This is an internal AI adjudication, not a claim of human expert review."
Q046,method stress test,direct_evidence,caffeine telomerase activation human immune cells,24137428;26384306;28603543;33720241,0;1;1;1,-;-;-;-,codex-final-adjudication,final-ai-adjudicated,"Negative-control style; include known irrelevant close matches if useful. || AI-DRAFTED (unreviewed): No real evidence supports a direct causal link between caffeine and telomerase ACTIVATION in human immune cells specifically. Closest matches: a mouse thymus/spleen TERT-upregulation study (wrong species), a human epidemiological telomere-LENGTH association pointing the opposite direction, and a leukemia-cell-line study of a different compound (caffeic acid ester) that INHIBITS telomerase. This is a clean negative control -- confirmed by real-time PubMed search. || AUDIT (2nd pass): Independently reconfirmed as a clean negative control; all 4 grades agreed. || FINAL ADJUDICATION: PMID metadata and disputed grades were checked against PubMed abstracts; second-pass recommendations were accepted and frozen on 2026-07-27. This is an internal AI adjudication, not a claim of human expert review."
Q047,method stress test,direct_evidence,quercetin CFTR cystic fibrosis intestinal epithelium upregulation,27932986;22186243,1;1,-;-,codex-final-adjudication,final-ai-adjudicated,"Negative-control style; direct intestinal CFTR evidence required for grade 2. || AI-DRAFTED (unreviewed): FLAG FOR CURATOR -- this is NOT a clean negative control. Real, verified evidence shows quercetin ACTIVATES CFTR-mediated chloride transport: one study in the correct tissue (mouse ileum/colon, HT-29 cells) but wrong genotype (wild-type, not CF); one in the correct disease context (human CF, F508del) but wrong tissue (sinonasal, not intestinal). Neither shows transcriptional/expression UPREGULATION of CFTR -- both are post-translational channel-activity potentiation. Recommend either re-wording the question to target the activation-vs-upregulation distinction, or keeping it but documenting this nuance explicitly in the gold notes. || AUDIT (2nd pass): Independently reconfirmed -- Q047 is NOT a clean negative control; both grades agreed as-is. || FINAL ADJUDICATION: PMID metadata and disputed grades were checked against PubMed abstracts; second-pass recommendations were accepted and frozen on 2026-07-27. This is an internal AI adjudication, not a claim of human expert review."
Q048,method stress test,mechanism,melatonin osteoclast inhibition miR-21 osteoporosis,35726597;28240263;26160841;32093031,1;1;1;1,-;-;-;-,codex-final-adjudication,final-ai-adjudicated,"Negative-control style; do not force direct miR-21 mechanism. || AI-DRAFTED (unreviewed): No study directly links melatonin to miR-21 -- confirmed via real-time search; these are two separate literatures. Melatonin's confirmed osteoclast-inhibitory mechanism operates through a DIFFERENT microRNA (mir-882/Rev-Erbalpha->RANKL/OPG); miR-21's confirmed pro-osteoclastogenic role operates via PDCD4/RANKL-OPG independent of melatonin. Clean negative control. || AUDIT (2nd pass): Independently reconfirmed as a clean negative control; all 4 grades agreed. || FINAL ADJUDICATION: PMID metadata and disputed grades were checked against PubMed abstracts; second-pass recommendations were accepted and frozen on 2026-07-27. This is an internal AI adjudication, not a claim of human expert review."
Q049,systematic retrieval,retrieval,TGF-beta signaling cardiac fibrosis human myocardium,37495732;30983140;30697920;29233682;34576234;30371263;28891814;21059352,2;2;2;2;2;1;1;1,-;-;-;-;^2;-;-;-,codex-final-adjudication,final-ai-adjudicated,"Prioritize direct human myocardial/cardiac fibrosis evidence. || AI-DRAFTED (unreviewed): Good direct human evidence across ventricular (post-MI, chronic fibroblast activation) and atrial (AF, rheumatic heart disease) contexts, supplemented by well-established mouse mechanistic studies (Smad2/3, fibroblast-specific TGF-beta receptor signaling); generic non-cardiac (liver/kidney/lung) TGF-beta papers were excluded. || AUDIT (2nd pass): 34576234 (WNT/beta-catenin-TGF-beta-IL-11 in human cardiac fibroblasts) is comparable in directness to the grade-2 set -- underrated at 1. || FINAL ADJUDICATION: PMID metadata and disputed grades were checked against PubMed abstracts; second-pass recommendations were accepted and frozen on 2026-07-27. This is an internal AI adjudication, not a claim of human expert review."
Q050,hypothesis generation,hypothesis,gut microbiome dysbiosis IL-17 bone loss osteoporosis,33586672;31980603;34373550;32373553;22970248;33432923;29955622;33469043,2;2;1;1;1;2;1;1,-;-;v1;-;-;^2;-;-,codex-final-adjudication,final-ai-adjudicated,"Include microbiome-immune-bone axis evidence; mark indirect paths. || AI-DRAFTED (unreviewed): Solid multi-step evidence chain: gut dysbiosis/specific microbiota -> Th17 expansion/IL-17 -> RANKL-driven osteoclastogenesis -> bone loss, demonstrated mechanistically in mice and supported by human clinical correlations for the microbiome-osteoporosis and IL-17-BMD links separately; no single human study yet ties all three nodes together in one cohort, so the full pathway is appropriately graded as multi-step/indirect. || AUDIT (2nd pass): 34373550 has no gut-microbiome/dysbiosis content at all -- overgraded at 2; 33432923 hits all three concept nodes (dysbiosis, Th17/IL-17, skeletal effect) directly -- underrated at 1. || FINAL ADJUDICATION: PMID metadata and disputed grades were checked against PubMed abstracts; second-pass recommendations were accepted and frozen on 2026-07-27. This is an internal AI adjudication, not a claim of human expert review."
